"AC";"Acre";"69900";"000";"69999";"999";;;;
"AL";"Alagoas";"57000";"000";"57999";"999";;;;
"AM";"Amazonas";"69000";"000";"69299";"999";"69400";"000";"69899";"999"
"AP";"Amapá";"68900";"000";"68999";"999";;;;
"BA";"Bahia";"40000";"000";"48999";"999";;;;
"CE";"Ceará";"60000";"000";"63999";"999";;;;
"DF";"Distrito Federal";"70000";"000";"72799";"999";"73000";"000";"73699";"999"
"ES";"Espírito Santo";"29000";"000";"29999";"999";;;;
"GO";"Goiás";"72800";"000";"72999";"999";"73700";"000";"76799";"999"
"MA";"Maranhão";"65000";"000";"65999";"999";;;;
"MG";"Minas Gerais";"30000";"000";"39999";"999";;;;
"MS";"Mato Grosso do Sul";"79000";"000";"79999";"999";;;;
"MT";"Mato Grosso";"78000";"000";"78899";"999";;;;
"PA";"Pará";"66000";"000";"68899";"999";;;;
"PB";"Paraíba";"58000";"000";"58999";"999";;;;
"PE";"Pernambuco";"50000";"000";"56999";"999";;;;
"PI";"Piauí";"64000";"000";"64999";"999";;;;
"PR";"Paraná";"80000";"000";"87999";"999";;;;
"RJ";"Rio de Janeiro";"20000";"000";"28999";"999";;;;
"RN";"Rio Grande do Norte";"59000";"000";"59999";"999";;;;
"RO";"Rondônia";"76800";"000";"76999";"999";;;;
"RR";"Roraima";"69300";"000";"69399";"999";;;;
"RS";"Rio Grande do Sul";"90000";"000";"99999";"999";;;;
"SC";"Santa Catarina";"88000";"000";"89999";"999";;;;
"SE";"Sergipe";"49000";"000";"49999";"999";;;;
"SP";"São Paulo";"01000";"000";"19999";"999";;;;
"TO";"Tocantins";"77000";"000";"77999";"999";;;;
